,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
26,RecentChange,True,Sold,2.0,1.0,913.0,RecentChange,False,False,True,42.289303,-71.04894,Sold 02/29/2024,48 Coffey St APT 1C,2122.0,Dorchester,MA,CONDO,2600.0,450000.0,RECENTLY_SOLD
27,RecentChange,True,Sold,2.0,2.0,1210.0,RecentChange,False,False,True,42.34079,-71.07698,Sold 02/29/2024,692 Tremont St APT 3,2118.0,Boston,MA,CONDO,4999.0,1585000.0,RECENTLY_SOLD
28,RecentChange,True,Sold,8.0,2.0,3923.0,RecentChange,False,False,True,42.286255,-71.15623,Sold 02/29/2024,33-35 Hastings St,2132.0,West Roxbury,MA,MULTI_FAMILY,6399.0,1100000.0,RECENTLY_SOLD
29,RecentChange,True,Sold,2.0,3.0,1187.0,RecentChange,True,False,True,42.36502,-71.05402,Sold 02/29/2024,14 N Bennet St #6,2113.0,Boston,MA,CONDO,,1550000.0,RECENTLY_SOLD
30,RecentChange,True,Sold,4.0,4.0,2936.0,RecentChange,False,False,True,42.3149,-71.11656,Sold 02/29/2024,78 Pond St #Q,2130.0,Jamaica Plain,MA,CONDO,,2000000.0,RECENTLY_SOLD
31,Non Owner Occupied,True,Sold,2.0,2.0,896.0,Unknown Listed By,False,False,True,42.31041,-71.0588,,9 Greenmount St #2,2125.0,Dorchester,MA,CONDO,2900.0,3300.0,FOR_RENT
32,RecentChange,True,Sold,6.0,10.0,3604.0,RecentChange,False,False,True,42.344803,-71.08057,Sold 02/29/2024,251 W Newton St,2116.0,Boston,MA,MULTI_FAMILY,2199.0,3900000.0,RECENTLY_SOLD
33,RecentChange,True,Sold,0.0,1.0,225.0,Unknown Listed By,False,False,True,42.338524,-71.15089,Sold 02/28/2024,22 Chiswick Rd APT 5,2135.0,Brighton,MA,CONDO,1867.0,212000.0,RECENTLY_SOLD
34,RecentChange,True,Sold,4.0,1.0,1356.0,RecentChange,False,False,True,42.289955,-71.05218,Sold 02/28/2024,56 Westglow St,2122.0,Dorchester,MA,SINGLE_FAMILY,4200.0,690000.0,RECENTLY_SOLD
35,RecentChange,True,Sold,4.0,4.0,2848.0,RecentChange,True,False,True,42.294632,-71.13895,Sold 02/28/2024,12 President Rd,2132.0,West Roxbury,MA,SINGLE_FAMILY,3858.0,1425000.0,RECENTLY_SOLD
36,RecentChange,True,Sold,4.0,2.0,1271.0,RecentChange,False,False,True,42.276833,-71.117165,Sold 02/28/2024,50 Navarre St,2131.0,Roslindale,MA,SINGLE_FAMILY,2400.0,565000.0,RECENTLY_SOLD
37,RecentChange,True,Sold,3.0,2.0,1472.0,RecentChange,False,False,True,42.295948,-71.14715,Sold 02/28/2024,67 Hollywood Rd,2132.0,West Roxbury,MA,SINGLE_FAMILY,4400.0,877000.0,RECENTLY_SOLD
38,RecentChange,True,Sold,6.0,3.0,2809.0,RecentChange,False,False,True,42.287262,-71.16056,Sold 02/28/2024,9 Whittemore St,2132.0,West Roxbury,MA,SINGLE_FAMILY,5400.0,1595000.0,RECENTLY_SOLD
39,RecentChange,True,Sold,3.0,2.0,1503.0,RecentChange,False,False,True,42.30884,-71.115944,Sold 02/28/2024,25-27 South St UNIT 1,2130.0,Jamaica Plain,MA,CONDO,,1100000.0,RECENTLY_SOLD
40,RecentChange,True,Sold,2.0,1.0,963.0,RecentChange,False,False,True,42.299988,-71.081604,Sold 02/28/2024,106 Glenway St FLOOR 3,2121.0,Dorchester,MA,CONDO,2896.0,450000.0,RECENTLY_SOLD
41,RecentChange,True,Sold,4.0,4.0,2712.0,RecentChange,False,False,True,42.311768,-71.111916,Sold 02/28/2024,41 Seaverns Ave UNIT 41,2130.0,Jamaica Plain,MA,TOWNHOUSE,6399.0,1450000.0,RECENTLY_SOLD
42,Non Owner Occupied,True,Sold,12.0,6.0,5442.0,Unknown Listed By,False,False,True,42.280945,-71.07172,,20 Fairmount St,2124.0,Dorchester Center,MA,APARTMENT,2800.0,2635.0,FOR_RENT
43,RecentChange,True,Sold,10.0,7.0,3875.0,RecentChange,True,False,True,42.320683,-71.10514,Sold 02/27/2024,62 Wyman St,2130.0,Jamaica Plain,MA,MULTI_FAMILY,6544.0,1900000.0,RECENTLY_SOLD
